cell,logFC,score_R,score_NR
G4_P6_M82_L001,1.19370389417673,1.19370389417673,0
G4_P7_M82_L001,0.167440775710744,0.167440775710744,0
G4_P8_M82_L001,0.976622918186595,0.976622918186595,0
G4_P9_M82_L001,0.705068782127475,0.705068782127475,0
G5_P6_M82_L001,2.7429075806508,2.7429075806508,0
G5_P7_M82_L001,1.14258965482874,1.14258965482874,0
G5_P8_M82_L001,0.388846085640888,0.388846085640888,0
G5_P9_M82_L001,-0.463111155945389,0,0.463111155945389
G6_P6_M82_L001,-0.348720356277877,0,0.348720356277877
G6_P7_M82_L001,2.08810535039555,2.08810535039555,0
G6_P8_M82_L001,-0.111583885587855,0,0.111583885587855
G6_P9_M82_L001,1.44882186885175,1.44882186885175,0
G7_P6_M82_L001,0.632410316924792,0.632410316924792,0
G7_P8_M82_L001,0.121636399012453,0.121636399012453,0
G7_P9_M82_L001,0.777354315451797,0.777354315451797,0
G8_P6_M82_L001,1.16495079905464,1.16495079905464,0
G8_P7_M82_L001,0.342104854815268,0.342104854815268,0
G8_P8_M82_L001,0.221707981037367,0.221707981037367,0
G8_P9_M82_L001,0.507296210048448,0.507296210048448,0
G9_P6_M82_L001,0.267314388666424,0.267314388666424,0
G9_P7_M82_L001,0.839248927909338,0.839248927909338,0
G9_P8_M82_L001,1.82034700840034,1.82034700840034,0
G9_P9_M82_L001,0.755408917840937,0.755408917840937,0
H10_P6_M82_L001,0.72206002606103,0.72206002606103,0
H10_P7_M82_L001,0.367218425455784,0.367218425455784,0
H10_P8_M82_L001,1.98172652485547,1.98172652485547,0
H10_P9_M82_L001,1.26905325978213,1.26905325978213,0
H11_P6_M82_L001,-0.941910877824177,0,0.941910877824177
H11_P7_M82_L001,0.926639127503085,0.926639127503085,0
H11_P9_M82_L001,0.504478660485317,0.504478660485317,0
H12_P6_M82_L001,-1.56199859886029,0,1.56199859886029
H12_P9_M82_L001,0.701216517645284,0.701216517645284,0
H1_P6_M82_L001,0.99626632579306,0.99626632579306,0
H1_P7_M82_L001,2.21245729769305,2.21245729769305,0
H1_P8_M82_L001,-0.600951898385436,0,0.600951898385436
H1_P9_M82_L001,-0.80538480962751,0,0.80538480962751
